"PlayerID","TimeStamp","datenum of timestamp","#head impacts"
"'040077950'","'2018-09-17 20:55:00'","737320.87152778","1"
"'040078051'","'2018-09-17 20:55:00'","737320.87152778","1"
"'040078043'","'2018-09-17 20:55:00'","737320.87152778","1"
"'040078097'","'2018-09-17 20:55:00'","737320.87152778","3"
"'040078060'","'2018-09-17 20:55:00'","737320.87152778","1"
"'040078095'","'2018-09-17 20:50:00'","737320.86805556","1"
"'040056208'","'2018-09-17 20:50:00'","737320.86805556","1"
"'040077964'","'2018-09-17 20:50:00'","737320.86805556","2"
"'040078097'","'2018-09-17 20:50:00'","737320.86805556","1"
"'040078097'","'2018-09-17 20:45:00'","737320.86458333","1"
"'040079460'","'2018-09-17 20:40:00'","737320.86111111","1"
"'040077960'","'2018-09-17 20:40:00'","737320.86111111","1"
"'040078095'","'2018-09-17 20:40:00'","737320.86111111","1"
"'040077950'","'2018-09-17 20:40:00'","737320.86111111","2"
"'040078079'","'2018-09-17 20:40:00'","737320.86111111","1"
"'040069137'","'2018-09-17 20:35:00'","737320.85763889","1"
"'040077950'","'2018-09-17 20:35:00'","737320.85763889","1"
"'040078097'","'2018-09-17 20:35:00'","737320.85763889","1"
"'040069137'","'2018-09-17 20:30:00'","737320.85416667","1"
"'040078097'","'2018-09-17 20:25:00'","737320.85069444","3"
"'040078056'","'2018-09-17 20:20:00'","737320.84722222","1"
"'040056207'","'2018-09-17 20:20:00'","737320.84722222","2"
"'040078092'","'2018-09-17 20:20:00'","737320.84722222","4"
"'040056208'","'2018-09-17 20:20:00'","737320.84722222","1"
"'040078092'","'2018-09-17 20:15:00'","737320.84375","2"
"'040077950'","'2018-09-17 20:15:00'","737320.84375","1"
"'040078056'","'2018-09-17 20:15:00'","737320.84375","3"
"'040056207'","'2018-09-17 20:15:00'","737320.84375","2"
"'040056209'","'2018-09-17 20:15:00'","737320.84375","2"
"'040056208'","'2018-09-17 20:15:00'","737320.84375","2"
"'040078097'","'2018-09-17 20:10:00'","737320.84027778","1"
"'040077948'","'2018-09-17 19:55:00'","737320.82986111","2"
"'040077964'","'2018-09-17 19:50:00'","737320.82638889","1"
"'040077964'","'2018-09-17 19:45:00'","737320.82291667","1"
"'040077942'","'2018-09-17 19:40:00'","737320.81944444","1"
"'040077964'","'2018-09-17 19:40:00'","737320.81944444","1"
"'040077940'","'2018-09-15 01:30:00'","737318.0625","2"
"'040078092'","'2018-09-15 01:30:00'","737318.0625","1"
"'040078097'","'2018-09-15 01:30:00'","737318.0625","3"
"'040077688'","'2018-09-15 01:30:00'","737318.0625","2"
"'040078097'","'2018-09-15 01:25:00'","737318.05902778","1"
"'040078095'","'2018-09-15 01:25:00'","737318.05902778","4"
"'040077949'","'2018-09-15 01:25:00'","737318.05902778","4"
"'040078053'","'2018-09-15 01:25:00'","737318.05902778","1"
"'040077950'","'2018-09-15 01:25:00'","737318.05902778","1"
"'040056330'","'2018-09-15 01:20:00'","737318.05555556","1"
"'040078065'","'2018-09-15 01:20:00'","737318.05555556","1"
"'040078097'","'2018-09-15 01:20:00'","737318.05555556","1"
"'040078046'","'2018-09-15 01:20:00'","737318.05555556","1"
"'040077950'","'2018-09-15 01:20:00'","737318.05555556","1"
"'040077974'","'2018-09-15 01:20:00'","737318.05555556","1"
"'040077970'","'2018-09-15 01:15:00'","737318.05208333","1"
"'040077949'","'2018-09-15 01:15:00'","737318.05208333","1"
"'040078097'","'2018-09-15 01:15:00'","737318.05208333","2"
"'040078043'","'2018-09-15 01:15:00'","737318.05208333","2"
"'040079460'","'2018-09-15 01:15:00'","737318.05208333","1"
"'040078046'","'2018-09-15 01:15:00'","737318.05208333","2"
"'040078095'","'2018-09-15 01:15:00'","737318.05208333","1"
"'040077974'","'2018-09-15 01:15:00'","737318.05208333","1"
"'040078097'","'2018-09-15 01:10:00'","737318.04861111","4"
"'040078052'","'2018-09-15 01:10:00'","737318.04861111","1"
"'040079460'","'2018-09-15 01:10:00'","737318.04861111","4"
"'040078040'","'2018-09-15 01:10:00'","737318.04861111","2"
"'040078048'","'2018-09-15 01:10:00'","737318.04861111","1"
"'040069137'","'2018-09-15 01:10:00'","737318.04861111","3"
"'040056208'","'2018-09-15 01:10:00'","737318.04861111","2"
"'040077950'","'2018-09-15 01:10:00'","737318.04861111","3"
"'040056330'","'2018-09-15 01:10:00'","737318.04861111","1"
"'040078060'","'2018-09-15 01:10:00'","737318.04861111","1"
"'040078051'","'2018-09-15 01:10:00'","737318.04861111","2"
"'040077950'","'2018-09-15 01:05:00'","737318.04513889","2"
"'040078043'","'2018-09-15 01:05:00'","737318.04513889","2"
"'040078040'","'2018-09-15 01:05:00'","737318.04513889","2"
"'040077970'","'2018-09-15 01:05:00'","737318.04513889","1"
"'040078048'","'2018-09-15 01:05:00'","737318.04513889","1"
