PlayerID,TimeStamp,datenum of Timestamp,Low Activity ,Medium Activity,High Activity,percent{( Med+High)/sum}
'040078083','2018-09-18 20:10:00',737321.84027778,49,61,43,6.797385620915
'040082095','2018-09-18 20:05:00',737321.83680556,101,48,0,3.2214765100671
'040082095','2018-09-18 20:10:00',737321.84027778,113,40,0,2.6143790849673
'040082095','2018-09-18 20:15:00',737321.84375,104,43,5,3.1578947368421
'040078060','2018-09-18 20:05:00',737321.83680556,60,75,17,6.0526315789474
'040078060','2018-09-18 20:10:00',737321.84027778,53,93,4,6.4666666666667
'040078060','2018-09-18 20:15:00',737321.84375,63,85,9,5.9872611464968
'040077947','2018-09-18 20:05:00',737321.83680556,73,68,7,5.0675675675676
'040077947','2018-09-18 20:10:00',737321.84027778,90,49,13,4.0789473684211
'040077947','2018-09-18 20:15:00',737321.84375,56,93,5,6.3636363636364
'040078066','2018-09-18 20:05:00',737321.83680556,63,32,54,5.7718120805369
'040078066','2018-09-18 20:10:00',737321.84027778,67,41,45,5.6209150326797
'040078066','2018-09-18 20:15:00',737321.84375,63,48,43,5.9090909090909
'040077957','2018-09-18 20:05:00',737321.83680556,29,82,41,8.0921052631579
'040077957','2018-09-18 20:10:00',737321.84027778,50,41,60,6.6887417218543
'040077957','2018-09-18 20:15:00',737321.84375,48,73,33,6.8831168831169
'040078046','2018-09-18 20:05:00',737321.83680556,38,47,64,7.4496644295302
'040078046','2018-09-18 20:10:00',737321.84027778,19,28,106,8.7581699346405
'040078046','2018-09-18 20:15:00',737321.84375,30,44,78,8.0263157894737
'040056212','2018-09-18 20:05:00',737321.83680556,112,39,0,2.5827814569536
'040056212','2018-09-18 20:10:00',737321.84027778,119,34,0,2.2222222222222
'040056212','2018-09-18 20:15:00',737321.84375,126,26,0,1.7105263157895
'040078063','2018-09-18 20:10:00',737321.84027778,72,38,39,5.1677852348993
'040078063','2018-09-18 20:15:00',737321.84375,35,80,39,7.7272727272727
'040078063','2018-09-18 20:20:00',737321.84722222,48,74,30,6.8421052631579
'040077948','2018-09-18 20:10:00',737321.84027778,26,59,59,8.1944444444444
'040077948','2018-09-18 20:15:00',737321.84375,31,47,74,7.9605263157895
'040077948','2018-09-18 20:20:00',737321.84722222,41,54,56,7.2847682119205
'040077937','2018-09-18 20:10:00',737321.84027778,53,69,16,6.1594202898551
'040077937','2018-09-18 20:15:00',737321.84375,77,61,16,5
'040077937','2018-09-18 20:20:00',737321.84722222,39,93,21,7.4509803921569
'040078064','2018-09-18 20:10:00',737321.84027778,37,47,54,7.3188405797101
'040078064','2018-09-18 20:15:00',737321.84375,40,79,33,7.3684210526316
'040078064','2018-09-18 20:20:00',737321.84722222,39,53,60,7.4342105263158
'040078081','2018-09-18 20:10:00',737321.84027778,26,73,51,8.2666666666667
'040078081','2018-09-18 20:15:00',737321.84375,7,37,107,9.5364238410596
'040078081','2018-09-18 20:20:00',737321.84722222,46,88,19,6.9934640522876
'040078050','2018-09-18 20:10:00',737321.84027778,42,70,38,7.2
'040078050','2018-09-18 20:15:00',737321.84375,81,45,26,4.6710526315789
'040078050','2018-09-18 20:20:00',737321.84722222,54,42,55,6.4238410596027
'040056209','2018-09-18 20:10:00',737321.84027778,126,23,0,1.5436241610738
'040056209','2018-09-18 20:15:00',737321.84375,109,31,12,2.828947368421
'040056209','2018-09-18 20:20:00',737321.84722222,118,35,0,2.2875816993464
'040078091','2018-09-18 20:10:00',737321.84027778,77,44,28,4.8322147651007
'040078091','2018-09-18 20:15:00',737321.84375,122,20,10,1.9736842105263
'040078091','2018-09-18 20:20:00',737321.84722222,66,46,41,5.6862745098039
